links,price,name,weight,group,params
/catalog/product/kolca_2155372/,32270,Кольцо обручальное из красного золота (арт. Т100013731),2.94,Кольца,"{'Ширина': '5 мм', 'Металл': 'Золото (Красное)', 'Проба': '585', 'Плетение': '', 'Вставка': '', 'Производитель': 'Каратов', 'Страна производитель': 'Россия'}"
/catalog/product/kolca_2150980/,25020,Кольцо обручальное из красного золота (арт. Т10001225),2.35,Кольца,"{'Ширина': '4 мм', 'Металл': 'Золото (Красное)', 'Проба': '585', 'Плетение': '', 'Вставка': '', 'Производитель': 'Каратов', 'Страна производитель': 'Россия'}"
/catalog/product/kolca_2253156/,20500,Кольцо обручальное из разных цветов золота (арт. Т130613733),1.8,Кольца,"{'Ширина': '4 мм', 'Металл': 'Золото (Мультицвет)', 'Проба': '585', 'Плетение': '', 'Вид обработки': 'Алмазная грань', 'Вставка': '', 'Производитель': 'Каратов', 'Страна производитель': 'Россия'}"
/catalog/product/kolca_7248203/,31300,Кольцо обручальное из красного золота (арт. Т100013797),2.82,Кольца,"{'Ширина': '3 мм', 'Высота': '1 мм', 'Металл': 'Золото (Красное)', 'Проба': '585', 'Плетение': '', 'Вставка': '', 'Производитель': 'Каратов', 'Страна производитель': 'Россия'}"
/catalog/product/cepochki_2207738/,62340,Цепочка из красного золота (арт. ЦНН20512050),6.1,Цепи,"{'Ширина': '2 мм', 'Металл': 'Золото (Красное)', 'Проба': '585', 'Плетение': 'Нонна', 'Вид обработки': 'Алмазная грань', 'Вставка': '', 'Производитель': 'Каратов', 'Страна производитель': 'Россия'}"
/catalog/product/cepochki_2252700/,71790,Цепочка из красного золота (арт. ЦГР00512060),11.39,Цепи,"{'Металл': 'Золото (Красное)', 'Проба': '585', 'Плетение': 'Бисмарк', 'Вид обработки': 'Алмазная грань', 'Вставка': '', 'Производитель': 'Каратов', 'Страна производитель': 'Россия'}"
/catalog/product/sergi_10019962/,62990,Серьги с бриллиантами (арт. Т145628729),3.81,Серьги,"{'Длина': '17 мм', 'Ширина': '11 мм', 'Металл': 'Золото (Красное)', 'Проба': '585', 'Плетение': '', 'Вид обработки': 'Родирование', 'Вставка': '40 бриллианты 200-400 кр-17 ; 2 бриллианты 30-40 4/6А кр-57', 'Форма основной вставки': 'Круг', 'Приблизительный каратный вес (основной вставки)': '0 ct', 'Производитель': 'Каратов', 'Страна производитель': 'Россия'}"
/catalog/product/cepochki_2201519/,95200,Цепочка из красного золота (арт. ЦПГР00512080),8.83,Цепи,"{'Ширина': '4 мм', 'Металл': 'Золото (Красное)', 'Проба': '585', 'Плетение': 'Бисмарк', 'Вид обработки': 'Алмазная грань', 'Вставка': '', 'Производитель': 'Каратов', 'Страна производитель': 'Россия'}"
/catalog/product/kolca_10019969/,36990,Кольцо с бриллиантами (арт. Т145618649),2.1,Кольца,"{'Длина': '23 мм', 'Ширина': '11 мм', 'Металл': 'Золото (Красное)', 'Проба': '585', 'Плетение': '', 'Вид обработки': 'Родирование', 'Вставка': '20 бриллианты 200-400 кр-17 ; 1 бриллианты 30-40 4/6А кр-57', 'Форма основной вставки': 'Круг', 'Приблизительный каратный вес (основной вставки)': '0 ct', 'Производитель': 'Каратов', 'Страна производитель': 'Россия'}"
/catalog/product/sergi_9197336/,45490,Серьги с бриллиантами (арт. Т145628727),3.18,Серьги,"{'Длина': '26 мм', 'Ширина': '7 мм', 'Металл': 'Золото (Красное)', 'Проба': '585', 'Плетение': '', 'Вид обработки': 'Родирование', 'Вставка': '2 бриллианты 30-40 кр-57', 'Форма основной вставки': 'Круг', 'Приблизительный каратный вес (основной вставки)': '0 ct', 'Производитель': 'Каратов', 'Страна производитель': 'Россия'}"
