data,competitor,name,group,weight,price,price_old,discount,insert,metal,lock_type_or_weaving_type,article
28-05-2024,Sokolov,Серьги из белого золота с бриллиантами,earrings,2.03 г,51750,114990,Дополнительная скидка по акции «Готовимся к лету!» ЕЩЁ -25%,"Бриллиант (природный) (12 шт, 0.1 карат) и еще 1",Белое золото 585 пробы,Пусет,1021708
28-05-2024,Sokolov,Кольцо из белого золота с бриллиантами,rings,1.66 г,38250,84990,Дополнительная скидка по акции «Готовимся к лету!» ЕЩЁ -25%,"Бриллиант (природный) (6 шт, 0.047 карат) и еще 1",Белое золото 585 пробы,,1012159-3
28-05-2024,Sokolov,Серьги из белого золота с бриллиантами,earrings,1.99 г,56250,124990,Дополнительная скидка по акции «Готовимся к лету!» ЕЩЁ -25%,"Бриллиант (природный) (2 шт, 0.059 карат)",Белое золото 585 пробы,Английский,1021341
28-05-2024,Sokolov,Помолвочное кольцо из белого золота с бриллиантом,rings,1.35 г,35100,77990,Дополнительная скидка по акции «Готовимся к лету!» ЕЩЁ -25%,"Бриллиант (природный) (1 шт, 0.03 карат)",Белое золото 585 пробы,,1011493
28-05-2024,Sokolov,Серьги из белого золота с бриллиантами,earrings,1.42 г,12990,0,,"Бриллиант (природный) (18 шт, 0.054 карат)",Белое золото 585 пробы,Английский,1022206-3
28-05-2024,Sokolov,Кольцо из белого золота с бриллиантами,rings,0.9 г,7990,0,,"Бриллиант (природный) (23 шт, 0.067 карат)",Белое золото 585 пробы,,1012584-3
28-05-2024,Sokolov,Серьги из белого золота с бриллиантами,earrings,2.7 г,96750,214990,Дополнительная скидка по акции «Готовимся к лету!» ЕЩЁ -25%,"Бриллиант (природный) (12 шт, 0.128 карат) и еще 3",Белое золото 585 пробы,Английский,1020743
28-05-2024,Sokolov,Стильное кольцо из белого золота c бриллиантами,rings,2.28 г,99000,219990,Дополнительная скидка по акции «Готовимся к лету!» ЕЩЁ -25%,"Бриллиант (природный) (1 шт, 0.11 карат) и еще 3",Белое золото 585 пробы,,1011116
28-05-2024,Sokolov,Серьги из белого золота с бриллиантами,earrings,2.42 г,65250,144990,Дополнительная скидка по акции «Готовимся к лету!» ЕЩЁ -25%,"Бриллиант (природный) (66 шт, 0.192 карат)",Белое золото 585 пробы,Английский,1021059-3
28-05-2024,Sokolov,Кольцо из белого золота с бриллиантами,rings,1.31 г,42750,94990,Дополнительная скидка по акции «Готовимся к лету!» ЕЩЁ -25%,"Бриллиант (природный) (57 шт, 0.165 карат)",Белое золото 585 пробы,,1011545-3
28-05-2024,Sokolov,Серьги из белого золота с бриллиантами,earrings,1.37 г,144000,319990,Дополнительная скидка по акции «Готовимся к лету!» ЕЩЁ -25%,"Бриллиант (природный) (2 шт, 0.395 карат)",Белое золото 585 пробы,Пусет,1021757-3
28-05-2024,Sokolov,Браслет жёсткий из белого золота с бриллиантами,bracelets,3.26 г,83250,184990,Дополнительная скидка по акции «Готовимся к лету!» ЕЩЁ -25%,"Бриллиант (природный) (38 шт, 0.11 карат)",Белое золото 585 пробы,,1050086
28-05-2024,Sokolov,Кольцо из золота с фианитом,rings,0.99 г,6990,0,,"Фианит (1 шт, 0.846 карат)",Красное золото 585 пробы,,019243
28-05-2024,Sokolov,Подвеска из золота с фианитом,pendants,0.37 г,1990,0,,"Фианит (1 шт, 0.846 карат)",Красное золото 585 пробы,,036552
28-05-2024,Sokolov,Кольцо из золота с фианитами,rings,0.97 г,6490,0,,"Фианит (5 шт, 1.004 карат)",Красное золото 585 пробы,,019263
28-05-2024,Sokolov,Серьги из золота с фианитами,earrings,1.67 г,11490,0,,"Фианит (10 шт, 1.223 карат)",Красное золото 585 пробы,Английский,0200136
28-05-2024,Sokolov,Кольцо обручальное из белого золота,rings,1.6 г,12990,0,,Без вставок,Белое золото 585 пробы,1.6 г,110260-3
28-05-2024,Sokolov,Кольцо обручальное из золота,rings,1.61 г,12990,0,,Без вставок,Красное золото 585 пробы,1.61 г,110260
28-05-2024,Sokolov,Кольцо обручальное из золота,rings,1.63 г,12990,0,,Без вставок,Красное золото 585 пробы,1.63 г,110261
28-05-2024,Sokolov,Кольцо из белого золота,rings,1.61 г,12990,0,,Без вставок,Белое золото 585 пробы,1.61 г,110262-3
28-05-2024,Sokolov,Подвеска из золота с топазом и фианитом,pendants,1.08 г,5990,0,,"Топаз (1 шт, 2.109 карат) и еще 1",Красное золото 585 пробы,,732930
28-05-2024,Sokolov,Подвеска из золота с жемчугом,pendants,0.63 г,2490,0,,"Жемчуг натуральный (1 шт, 2.75 карат)",Красное золото 585 пробы,,793163
28-05-2024,Sokolov,Серьги из золота с жемчугом,earrings,2.31 г,10990,0,,"Жемчуг натуральный (2 шт, 6.45 карат)",Красное золото 585 пробы,Продёвка,792410
28-05-2024,Sokolov,Серьги из золота с жемчугом,earrings,1.52 г,6990,0,,"Жемчуг натуральный (2 шт, 3.95 карат)",Красное золото 585 пробы,Пусет,792416
28-05-2024,Sokolov,Серьги из белого золота с бриллиантами,earrings,5.99 г,173250,384990,Дополнительная скидка по акции «Готовимся к лету!» ЕЩЁ -25%,"Бриллиант (природный) (124 шт, 0.473 карат)",Белое золото 585 пробы,5.99 г,1022183-3
28-05-2024,Sokolov,Кольцо из белого золота с бриллиантами,rings,3.31 г,112500,249990,Дополнительная скидка по акции «Готовимся к лету!» ЕЩЁ -25%,"Бриллиант (природный) (116 шт, 0.636 карат)",Белое золото 585 пробы,3.31 г,1012568-3
28-05-2024,Sokolov,Колье из белого золота с бриллиантами,necklaces,27.04 г,573750,1274990,Дополнительная скидка по акции «Готовимся к лету!» ЕЩЁ -25%,"Бриллиант (природный) (685 шт, 2.593 карат)",Белое золото 585 пробы,27.04 г,1070324-3
28-05-2024,Sokolov,Браслет из белого золота с бриллиантами,bracelets,12.27 г,292500,649990,Дополнительная скидка по акции «Готовимся к лету!» ЕЩЁ -25%,"Бриллиант (природный) (277 шт, 1.052 карат)",Белое золото 585 пробы,12.27 г,1050271-3
28-05-2024,Sokolov,Серьги из белого золота с бриллиантами,earrings,2.79 г,44990,0,,"Бриллиант (природный) (42 шт, 0.158 карат)",Белое золото 585 пробы,Английский,1021969-3
28-05-2024,Sokolov,Кольцо из белого золота с бриллиантами,rings,1.64 г,24990,0,,"Бриллиант (природный) (27 шт, 0.078 карат)",Белое золото 585 пробы,,1012355-3
28-05-2024,Sokolov,Помолвочное кольцо из белого золота с бриллиантом,rings,1.64 г,138000,459990,,"Бриллиант (природный) (1 шт, 0.285 карат)",Белое золото 585 пробы,,1010139
28-05-2024,Sokolov,Браслет из белого золота с бриллиантами,bracelets,5.4 г,211500,469990,Дополнительная скидка по акции «Готовимся к лету!» ЕЩЁ -25%,"Бриллиант (природный) (31 шт, 0.415 карат) и еще 1",Белое золото 585 пробы,5.4 г,1050166-3
28-05-2024,Sokolov,Серьги из белого золота с бриллиантами,earrings,1.04 г,10990,0,,"Бриллиант (природный) (2 шт, 0.04 карат)",Белое золото 585 пробы,Пусет,1022152-3
28-05-2024,Sokolov,Кольцо из белого золота с бриллиантом,rings,0.78 г,8990,0,,"Бриллиант (природный) (1 шт, 0.028 карат)",Белое золото 585 пробы,,1012564-3
28-05-2024,Sokolov,Серьги из белого золота с бриллиантами,earrings,1.63 г,44100,97990,Дополнительная скидка по акции «Готовимся к лету!» ЕЩЁ -25%,"Бриллиант (природный) (2 шт, 0.043 карат)",Белое золото 585 пробы,Пусет,1021119
28-05-2024,Sokolov,Кольцо из белого золота с бриллиантом,rings,1.5 г,65250,144990,Дополнительная скидка по акции «Готовимся к лету!» ЕЩЁ -25%,"Бриллиант (природный) (1 шт, 0.1 карат)",Белое золото 585 пробы,,1011677
28-05-2024,Sokolov,Подвеска из белого золота с бриллиантами,pendants,0.71 г,58500,129990,Дополнительная скидка по акции «Готовимся к лету!» ЕЩЁ -25%,"Бриллиант (природный) (11 шт, 0.234 карат)",Белое золото 585 пробы,0.71 г,1030840-3
28-05-2024,Sokolov,Колье из белого золота с бриллиантами,necklaces,2.35 г,150750,334990,Дополнительная скидка по акции «Готовимся к лету!» ЕЩЁ -25%,"Бриллиант (природный) (12 шт, 0.437 карат)",Белое золото 585 пробы,2.35 г,1070173-3
28-05-2024,Sokolov,Колье из белого золота с бриллиантом,necklaces,1.69 г,119250,264990,Дополнительная скидка по акции «Готовимся к лету!» ЕЩЁ -25%,"Бриллиант (природный) (1 шт, 0.21 карат)",Белое золото 585 пробы,,1070162
28-05-2024,Sokolov,Колье из белого золота с бриллиантом,necklaces,1.56 г,65250,144990,Дополнительная скидка по акции «Готовимся к лету!» ЕЩЁ -25%,"Бриллиант (природный) (1 шт, 0.11 карат)",Белое золото 585 пробы,,1070168
28-05-2024,Sokolov,Браслет из белого золота с бриллиантом,bracelets,0.99 г,21600,47990,Дополнительная скидка по акции «Готовимся к лету!» ЕЩЁ -25%,"Бриллиант (природный) (1 шт, 0.007 карат)",Белое золото 585 пробы,,1050155
28-05-2024,Sokolov,Браслет из белого золота с бриллиантами,bracelets,2.48 г,60750,134990,Дополнительная скидка по акции «Готовимся к лету!» ЕЩЁ -25%,"Бриллиант (природный) (8 шт, 0.058 карат)",Белое золото 585 пробы,,1050232-3
28-05-2024,Sokolov,Браслет из белого золота с бриллиантами,bracelets,8.25 г,202500,449990,Дополнительная скидка по акции «Готовимся к лету!» ЕЩЁ -25%,"Бриллиант (природный) (54 шт, 0.209 карат)",Белое золото 585 пробы,,1050171-3
28-05-2024,Sokolov,Браслет из белого золота с бриллиантами,bracelets,6.56 г,234000,779990,,"Бриллиант (природный) (189 шт, 0.782 карат) и еще 1",Белое золото 585 пробы,6.56 г,1050175-3
28-05-2024,Sokolov,Серьги из белого золота с бриллиантами,earrings,4.23 г,128250,284990,Дополнительная скидка по акции «Готовимся к лету!» ЕЩЁ -25%,"Бриллиант (природный) (108 шт, 0.412 карат)",Белое золото 585 пробы,,1020153
28-05-2024,Sokolov,Кольцо из белого золота с бриллиантами,rings,3.74 г,108000,239990,Дополнительная скидка по акции «Готовимся к лету!» ЕЩЁ -25%,"Бриллиант (природный) (134 шт, 0.496 карат)",Белое золото 585 пробы,,1010256
28-05-2024,Sokolov,Серьги из белого золота с бриллиантами,earrings,4.64 г,216000,479990,Дополнительная скидка по акции «Готовимся к лету!» ЕЩЁ -25%,"Бриллиант (природный) (20 шт, 0.751 карат)",Белое золото 585 пробы,4.64 г,1021940-3
28-05-2024,Sokolov,Кольцо из белого золота с бриллиантами,rings,3.35 г,146250,324990,Дополнительная скидка по акции «Готовимся к лету!» ЕЩЁ -25%,"Бриллиант (природный) (12 шт, 0.437 карат)",Белое золото 585 пробы,3.35 г,1012326-3
28-05-2024,Sokolov,Серьги из белого золота с бриллиантами,earrings,2.68 г,81000,179990,Дополнительная скидка по акции «Готовимся к лету!» ЕЩЁ -25%,"Бриллиант (природный) (2 шт, 0.076 карат) и еще 1",Белое золото 585 пробы,Английский,1021314
28-05-2024,Sokolov,Кольцо из белого золота с бриллиантами,rings,1.98 г,76500,169990,Дополнительная скидка по акции «Готовимся к лету!» ЕЩЁ -25%,"Бриллиант (природный) (1 шт, 0.081 карат) и еще 1",Белое золото 585 пробы,,1011803
28-05-2024,Sokolov,Серьги из белого золота с бриллиантами,earrings,1.37 г,32850,72990,Дополнительная скидка по акции «Готовимся к лету!» ЕЩЁ -25%,"Бриллиант (природный) (20 шт, 0.058 карат)",Белое золото 585 пробы,,1022151-3
28-05-2024,Sokolov,Кольцо из белого золота с бриллиантами,rings,1.11 г,31500,69990,Дополнительная скидка по акции «Готовимся к лету!» ЕЩЁ -25%,"Бриллиант (природный) (26 шт, 0.075 карат)",Белое золото 585 пробы,,1012336-3
28-05-2024,Sokolov,Серьги из комбинированного золота с бриллиантами,earrings,3.02 г,83250,184990,Дополнительная скидка по акции «Готовимся к лету!» ЕЩЁ -25%,"Бриллиант (природный) (16 шт, 0.047 карат) и еще 1",Комбинированное золото 585 пробы,Английский,1021325
28-05-2024,Sokolov,Кольцо из комбинированного золота с бриллиантами,rings,1.81 г,54000,119990,Дополнительная скидка по акции «Готовимся к лету!» ЕЩЁ -25%,"Бриллиант (природный) (8 шт, 0.023 карат) и еще 1",Комбинированное золото 585 пробы,,1011797
28-05-2024,Sokolov,Серьги из золота с бриллиантами,earrings,3.72 г,44990,0,,"Бриллиант (природный) (76 шт, 0.22 карат)",Красное золото 585 пробы,Замок-булавка,1022204
28-05-2024,Sokolov,Кольцо из золота с бриллиантами,rings,3.39 г,39990,0,,"Бриллиант (природный) (56 шт, 0.162 карат)",Красное золото 585 пробы,,1012616
28-05-2024,Sokolov,Серьги из комбинированного золота с бриллиантами,earrings,2.51 г,72000,159990,Дополнительная скидка по акции «Готовимся к лету!» ЕЩЁ -25%,"Бриллиант (природный) (2 шт, 0.075 карат)",Комбинированное золото 585 пробы,Английский,1021054
28-05-2024,Sokolov,Кольцо из комбинированного золота с алмазной гранью с бриллиантом,rings,1.78 г,42750,94990,Дополнительная скидка по акции «Готовимся к лету!» ЕЩЁ -25%,"Бриллиант (природный) (1 шт, 0.03 карат)",Комбинированное золото 585 пробы,,1011557
28-05-2024,Sokolov,Серьги из комбинированного золота с бриллиантами,earrings,1.66 г,44100,97990,Дополнительная скидка по акции «Готовимся к лету!» ЕЩЁ -25%,"Бриллиант (природный) (2 шт, 0.043 карат)",Комбинированное золото 585 пробы,Пусет,1021118
