data,competitor,name,group,weight,price,price_old,discount,insert,metal,lock_type_or_weaving_type,article
30.05.2024,Sokolov,Кольцо обручальное из белого золота,rings,1.6 г,12990,0,,Без вставок,Белое золото 585 пробы,1.6 г,110260-3
30.05.2024,Sokolov,Кольцо обручальное из золота,rings,1.61 г,12990,0,,Без вставок,Красное золото 585 пробы,1.61 г,110260
30.05.2024,Sokolov,Кольцо обручальное из золота,rings,1.63 г,12990,0,,Без вставок,Красное золото 585 пробы,1.63 г,110261
30.05.2024,Sokolov,Кольцо из белого золота,rings,1.61 г,12990,0,,Без вставок,Белое золото 585 пробы,1.61 г,110262-3
30.05.2024,Sokolov,Подвеска из золота,pendants,0.13 г,990,0,,Без вставок,Красное золото 585 пробы,,036439
30.05.2024,Sokolov,Кольцо из золота,rings,1.09 г,7990,0,,Без вставок,Красное золото 585 пробы,,019424
30.05.2024,Sokolov,Серьги из золота,earrings,0.93 г,7990,0,,Без вставок,Красное золото 585 пробы,Пусет,0200217
30.05.2024,Sokolov,Серьги из золота,earrings,0.66 г,5490,0,,Без вставок,Красное золото 585 пробы,Продёвка,029432
30.05.2024,Sokolov,Серьги из золота,earrings,1.02 г,8490,0,,Без вставок,Красное золото 585 пробы,,029805
30.05.2024,Sokolov,Подвеска из золота,pendants,0.42 г,3490,0,,Без вставок,Красное золото 585 пробы,,121498
30.05.2024,Sokolov,Кольцо из золота,rings,1.72 г,23850,52990,Дополнительная скидка по акции «Готовимся к лету!» ЕЩЁ -25%,Без вставок,Красное золото 585 пробы,,019254
30.05.2024,Sokolov,Серьги из золота,earrings,2.53 г,36000,79990,Дополнительная скидка по акции «Готовимся к лету!» ЕЩЁ -25%,Без вставок,Красное золото 585 пробы,Английский,0200117
30.05.2024,Sokolov,Кольцо из золота,rings,2.86 г,41850,92990,Дополнительная скидка по акции «Готовимся к лету!» ЕЩЁ -25%,Без вставок,Красное золото 585 пробы,,019417
30.05.2024,Sokolov,Серьги из золота,earrings,2.75 г,38700,85990,Дополнительная скидка по акции «Готовимся к лету!» ЕЩЁ -25%,Без вставок,Красное золото 585 пробы,Английский,0200292
30.05.2024,Sokolov,Кольцо из золота,rings,3.15 г,41850,92990,Дополнительная скидка по акции «Готовимся к лету!» ЕЩЁ -25%,Без вставок,Красное золото 585 пробы,,019296
30.05.2024,Sokolov,Серьги из золота,earrings,2.48 г,31500,69990,Дополнительная скидка по акции «Готовимся к лету!» ЕЩЁ -25%,Без вставок,Красное золото 585 пробы,Английский,0200165
30.05.2024,Sokolov,Кольцо из золота,rings,2.72 г,38250,84990,Дополнительная скидка по акции «Готовимся к лету!» ЕЩЁ -25%,Без вставок,Красное золото 585 пробы,,019342
30.05.2024,Sokolov,Серьги из золота,earrings,2.55 г,35100,77990,Дополнительная скидка по акции «Готовимся к лету!» ЕЩЁ -25%,Без вставок,Красное золото 585 пробы,Английский,0200213
30.05.2024,Sokolov,Кольцо из золота,rings,2.24 г,27000,89990,,Без вставок,Красное золото 585 пробы,,019471
