data,competitor,name,group,weight,price,price_old,discount,insert,metal,lock_type_or_weaving_type,article
26.06.2024,Sokolov,Кольцо обручальное из белого золота,rings,1.6 г,12990,0,,Без вставок,Белое золото 585 пробы,1.6 г,110260-3
26.06.2024,Sokolov,Кольцо обручальное из золота,rings,1.61 г,12990,0,,Без вставок,Красное золото 585 пробы,1.61 г,110260
26.06.2024,Sokolov,Кольцо обручальное из золота,rings,1.63 г,12990,0,,Без вставок,Красное золото 585 пробы,1.63 г,110261
26.06.2024,Sokolov,Кольцо из белого золота,rings,1.61 г,12990,0,,Без вставок,Белое золото 585 пробы,1.61 г,110262-3
26.06.2024,Sokolov,Подвеска из золота,pendants,0.13 г,990,0,,Без вставок,Красное золото 585 пробы,,036439
26.06.2024,Sokolov,Кольцо из золота,rings,1.09 г,7990,0,,Без вставок,Красное золото 585 пробы,,019424
26.06.2024,Sokolov,Серьги из золота,earrings,0.93 г,7990,0,,Без вставок,Красное золото 585 пробы,Пусет,0200217
26.06.2024,Sokolov,Серьги из золота,earrings,0.66 г,5490,0,,Без вставок,Красное золото 585 пробы,Продёвка,029432
26.06.2024,Sokolov,Серьги из золота,earrings,1.02 г,8490,0,,Без вставок,Красное золото 585 пробы,,029805
26.06.2024,Sokolov,Подвеска из золота,pendants,0.42 г,3490,0,,Без вставок,Красное золото 585 пробы,,121498
26.06.2024,Sokolov,Кольцо из золота,rings,1.72 г,23850,52990,,Без вставок,Красное золото 585 пробы,,019254
26.06.2024,Sokolov,Серьги из золота,earrings,2.53 г,37350,82990,,Без вставок,Красное золото 585 пробы,Английский,0200117
26.06.2024,Sokolov,Кольцо из золота,rings,2.86 г,41850,92990,Дополнительная скидка по акции «FLASH-РАСПРОДАЖА» ЕЩЁ -20%,Без вставок,Красное золото 585 пробы,,019417
26.06.2024,Sokolov,Серьги из золота,earrings,2.75 г,31500,69990,,Без вставок,Красное золото 585 пробы,Английский,0200292
26.06.2024,Sokolov,Кольцо из золота,rings,3.23 г,41850,92990,Дополнительная скидка по акции «FLASH-РАСПРОДАЖА» ЕЩЁ -10%,Без вставок,Красное золото 585 пробы,,019296
26.06.2024,Sokolov,Серьги из золота,earrings,2.48 г,37350,82990,,Без вставок,Красное золото 585 пробы,Английский,0200165
26.06.2024,Sokolov,Кольцо из золота,rings,2.72 г,38250,84990,Дополнительная скидка по акции «FLASH-РАСПРОДАЖА» ЕЩЁ -20%,Без вставок,Красное золото 585 пробы,,019342
26.06.2024,Sokolov,Серьги из золота,earrings,2.55 г,38250,84990,Дополнительная скидка по акции «FLASH-РАСПРОДАЖА» ЕЩЁ -10%,Без вставок,Красное золото 585 пробы,Английский,0200213
26.06.2024,Sokolov,Кольцо из золота,rings,2.24 г,27000,89990,,Без вставок,Красное золото 585 пробы,,019471
26.06.2024,Sokolov,Кольцо из золота,rings,1.32 г,21600,47990,Дополнительная скидка по акции «FLASH-РАСПРОДАЖА» ЕЩЁ -10%,Без вставок,Красное золото 585 пробы,,019268
26.06.2024,Sokolov,Серьги из золота,earrings,1.73 г,24750,54990,Дополнительная скидка по акции «FLASH-РАСПРОДАЖА» ЕЩЁ -10%,Без вставок,Красное золото 585 пробы,Английский,0200129
26.06.2024,Sokolov,Браслет из золота,bracelets,10.75 г,168750,374990,Дополнительная скидка по акции «FLASH-РАСПРОДАЖА» ЕЩЁ -20%,Без вставок,Красное золото 585 пробы,,051465
26.06.2024,Sokolov,Браслет из золота,bracelets,3.52 г,49500,109990,Дополнительная скидка по акции «FLASH-РАСПРОДАЖА» ЕЩЁ -10%,Без вставок,Красное золото 585 пробы,,051437
26.06.2024,Sokolov,Браслет из золота,bracelets,4.66 г,72000,159990,Дополнительная скидка по акции «FLASH-РАСПРОДАЖА» ЕЩЁ -10%,Без вставок,Красное золото 585 пробы,,051460
26.06.2024,Sokolov,Браслет из золота,bracelets,4.35 г,56250,124990,Дополнительная скидка по акции «FLASH-РАСПРОДАЖА» ЕЩЁ -10%,Без вставок,Красное золото 585 пробы,,051444
26.06.2024,Sokolov,Подвеска из золота,pendants,0.32 г,5400,11990,Дополнительная скидка по акции «FLASH-РАСПРОДАЖА» ЕЩЁ -10%,Без вставок,Красное золото 585 пробы,,034923
26.06.2024,Sokolov,Подвеска из золота,pendants,0.93 г,13050,28990,Дополнительная скидка по акции «FLASH-РАСПРОДАЖА» ЕЩЁ -10%,Без вставок,Красное золото 585 пробы,,036558
26.06.2024,Sokolov,Подвеска из золота,pendants,0.53 г,7650,16990,,Без вставок,Красное золото 585 пробы,,036556
26.06.2024,Sokolov,Подвеска из золота,pendants,0.25 г,3820,8490,,Без вставок,Красное золото 585 пробы,,036288
26.06.2024,Sokolov,Серьги из золота,earrings,1.05 г,15750,34990,Дополнительная скидка по акции «FLASH-РАСПРОДАЖА» ЕЩЁ -10%,Без вставок,Красное золото 585 пробы,Английский,027410
