data,competitor,name,group,weight,price,price_old,discount,insert,metal,lock_type_or_weaving_type,article
11.06.2024,Sokolov,Серьги из белого золота с бриллиантами,earrings,1.42 г,12990.0,0.0,,"Бриллиант (природный) (18 шт, 0.054 карат)",Белое золото 585 пробы,Английский,1022206-3
11.06.2024,Sokolov,Кольцо из белого золота с бриллиантами,rings,0.9 г,7990.0,0.0,,"Бриллиант (природный) (23 шт, 0.069 карат)",Белое золото 585 пробы,,1012584-3
11.06.2024,Sokolov,Кольцо из золота с фианитом,rings,0.99 г,6990.0,0.0,,"Фианит (1 шт, 0.846 карат)",Красное золото 585 пробы,,019243
11.06.2024,Sokolov,Подвеска из золота с фианитом,pendants,0.37 г,1990.0,0.0,,"Фианит (1 шт, 0.846 карат)",Красное золото 585 пробы,,036552
11.06.2024,Sokolov,Кольцо из золота с фианитами,rings,0.97 г,6490.0,0.0,,"Фианит (5 шт, 1.004 карат)",Красное золото 585 пробы,,019263
11.06.2024,Sokolov,Серьги из золота с фианитами,earrings,1.67 г,11490.0,0.0,,"Фианит (10 шт, 1.223 карат)",Красное золото 585 пробы,Английский,0200136
11.06.2024,Sokolov,Кольцо обручальное из белого золота,rings,1.6 г,12990.0,0.0,,Без вставок,Белое золото 585 пробы,1.6 г,110260-3
11.06.2024,Sokolov,Кольцо обручальное из золота,rings,1.61 г,12990.0,0.0,,Без вставок,Красное золото 585 пробы,1.61 г,110260
11.06.2024,Sokolov,Кольцо обручальное из золота,rings,1.63 г,12990.0,0.0,,Без вставок,Красное золото 585 пробы,1.63 г,110261
11.06.2024,Sokolov,Кольцо из белого золота,rings,1.61 г,12990.0,0.0,,Без вставок,Белое золото 585 пробы,1.61 г,110262-3
11.06.2024,Sokolov,Подвеска из золота с топазом и фианитом,pendants,1.08 г,5990.0,0.0,,"Топаз (1 шт, 2.109 карат) и еще 1",Красное золото 585 пробы,,732930
11.06.2024,Sokolov,Подвеска из золота с жемчугом,pendants,0.63 г,2490.0,0.0,,"Жемчуг натуральный (1 шт, 2.75 карат)",Красное золото 585 пробы,,793163
11.06.2024,Sokolov,Серьги из золота с жемчугом,earrings,2.31 г,10990.0,0.0,,"Жемчуг натуральный (2 шт, 6.45 карат)",Красное золото 585 пробы,Продёвка,792410
11.06.2024,Sokolov,Серьги из золота с жемчугом,earrings,1.52 г,6990.0,0.0,,"Жемчуг натуральный (2 шт, 3.95 карат)",Красное золото 585 пробы,Пусет,792416
11.06.2024,Sokolov,Серьги из белого золота с бриллиантами,earrings,2.79 г,44990.0,0.0,,"Бриллиант (природный) (42 шт, 0.159 карат)",Белое золото 585 пробы,Английский,1021969-3
11.06.2024,Sokolov,Кольцо из белого золота с бриллиантами,rings,1.64 г,24990.0,0.0,,"Бриллиант (природный) (27 шт, 0.078 карат)",Белое золото 585 пробы,,1012355-3
11.06.2024,Sokolov,Серьги из белого золота с бриллиантами,earrings,1.04 г,10990.0,0.0,,"Бриллиант (природный) (2 шт, 0.04 карат)",Белое золото 585 пробы,Пусет,1022152-3
11.06.2024,Sokolov,Кольцо из белого золота с бриллиантом,rings,0.78 г,8990.0,0.0,,"Бриллиант (природный) (1 шт, 0.028 карат)",Белое золото 585 пробы,,1012564-3
11.06.2024,Sokolov,Серьги из золота с бриллиантами,earrings,3.72 г,44990.0,0.0,,"Бриллиант (природный) (76 шт, 0.22 карат)",Красное золото 585 пробы,Замок-булавка,1022204
11.06.2024,Sokolov,Кольцо из золота с бриллиантами,rings,3.39 г,39990.0,0.0,,"Бриллиант (природный) (56 шт, 0.154 карат)",Красное золото 585 пробы,,1012616
11.06.2024,Sokolov,Помолвочное кольцо из комбинированного золота с бриллиантом,rings,1.05 г,10990.0,0.0,,"Бриллиант (природный) (1 шт, 0.013 карат)",Комбинированное золото 585 пробы,,1011510
11.06.2024,Sokolov,Серьги из золота с бриллиантами,earrings,1.47 г,12990.0,0.0,,"Бриллиант (природный) (18 шт, 0.054 карат)",Красное золото 585 пробы,Английский,1022206
11.06.2024,Sokolov,Кольцо из золота с бриллиантами,rings,0.91 г,7990.0,0.0,,"Бриллиант (природный) (23 шт, 0.069 карат)",Красное золото 585 пробы,,1012584
11.06.2024,Sokolov,Серьги из золота с бриллиантами,earrings,1.04 г,10990.0,0.0,,"Бриллиант (природный) (2 шт, 0.04 карат)",Красное золото 585 пробы,Пусет,1022152
11.06.2024,Sokolov,Кольцо из золота с бриллиантом,rings,0.77 г,8990.0,0.0,,"Бриллиант (природный) (1 шт, 0.03 карат)",Красное золото 585 пробы,,1012564
11.06.2024,Sokolov,Серьги из золота с бриллиантами,earrings,1.97 г,27990.0,0.0,,"Бриллиант (природный) (30 шт, 0.087 карат)",Красное золото 585 пробы,Английский,1021939
11.06.2024,Sokolov,Кольцо из золота с бриллиантами,rings,0.83 г,13990.0,0.0,,"Бриллиант (природный) (23 шт, 0.067 карат)",Красное золото 585 пробы,,1012306
11.06.2024,Sokolov,Серьги из золота с бриллиантами,earrings,2.6 г,44990.0,0.0,,"Бриллиант (природный) (42 шт, 0.158 карат)",Красное золото 585 пробы,Английский,1021969
11.06.2024,Sokolov,Кольцо из золота с бриллиантами,rings,1.75 г,24990.0,0.0,,"Бриллиант (природный) (27 шт, 0.078 карат)",Красное золото 585 пробы,,1012355
11.06.2024,Sokolov,Помолвочное кольцо из золота с бриллиантом,rings,1.34 г,18990.0,0.0,,"Бриллиант (природный) (1 шт, 0.021 карат)",Красное золото 585 пробы,,1011553
11.06.2024,Sokolov,Серьги из белого золота с бриллиантами,earrings,0.81 г,12990.0,0.0,,"Бриллиант (природный) (8 шт, 0.03 карат)",Белое золото 585 пробы,Пусет,1021913-3
11.06.2024,Sokolov,Подвеска из белого золота с бриллиантом,pendants,0.18 г,4990.0,0.0,,"Бриллиант (природный) (1 шт, 0.017 карат)",Белое золото 585 пробы,,1030802
11.06.2024,Sokolov,Подвеска из белого золота с бриллиантом,pendants,0.31 г,4490.0,0.0,,"Бриллиант (природный) (1 шт, 0.02 карат)",Белое золото 585 пробы,,1030928-3
11.06.2024,Sokolov,Подвеска из белого золота с бриллиантом,pendants,0.21 г,2490.0,0.0,,"Бриллиант (природный) (1 шт, 0.005 карат)",Белое золото 585 пробы,,1030718
11.06.2024,Sokolov,Серьги из золота с бриллиантами,earrings,0.82 г,12990.0,0.0,,"Бриллиант (природный) (8 шт, 0.03 карат)",Красное золото 585 пробы,Пусет,1021913
11.06.2024,Sokolov,Кольцо из комбинированного золота с бриллиантом,rings,0.88 г,12990.0,0.0,,"Бриллиант (природный) (1 шт, 0.01 карат)",Комбинированное золото 585 пробы,,1011804
11.06.2024,Sokolov,Подвеска из золота с бриллиантом,pendants,0.31 г,4490.0,0.0,,"Бриллиант (природный) (1 шт, 0.02 карат)",Красное золото 585 пробы,,1030928
11.06.2024,Sokolov,Подвеска из золота с бриллиантом,pendants,0.19 г,4990.0,0.0,,"Бриллиант (природный) (1 шт, 0.016 карат)",Красное золото 585 пробы,,1030801
11.06.2024,Sokolov,Кольцо из золота с фианитами,rings,1.23 г,8990.0,0.0,,"Фианит (12 шт, 0.12 карат)",Красное золото 585 пробы,,019467
11.06.2024,Sokolov,Серьги из золота с фианитами,earrings,1.73 г,12990.0,0.0,,"Фианит (12 шт, 0.12 карат)",Красное золото 585 пробы,Английский,0200353
11.06.2024,Sokolov,Подвеска из золота,pendants,0.13 г,990.0,0.0,,Без вставок,Красное золото 585 пробы,,036439
11.06.2024,Sokolov,Браслет из золота с фианитами,bracelets,0.67 г,4990.0,0.0,,"Фианит (11 шт, 0.094 карат)",Красное золото 585 пробы,,051367
11.06.2024,Sokolov,Кольцо из золота,rings,1.09 г,7990.0,0.0,,Без вставок,Красное золото 585 пробы,,019424
11.06.2024,Sokolov,Серьги из золота,earrings,0.93 г,7990.0,0.0,,Без вставок,Красное золото 585 пробы,Пусет,0200217
11.06.2024,Sokolov,Серьги из золота с фианитами,earrings,0.6 г,4990.0,0.0,,"Фианит (2 шт, 0.245 карат)",Красное золото 585 пробы,Продёвка,029503
11.06.2024,Sokolov,Колье из белого золота с фианитом,necklaces,0.76 г,5990.0,0.0,,"Фианит (1 шт, 0.297 карат)",Белое золото 585 пробы,,070308
11.06.2024,Sokolov,Серьги из золота,earrings,0.66 г,5490.0,0.0,,Без вставок,Красное золото 585 пробы,Продёвка,029432
11.06.2024,Sokolov,Серьги из золота,earrings,1.02 г,8490.0,0.0,,Без вставок,Красное золото 585 пробы,,029805
11.06.2024,Sokolov,Серьги из золота с фианитами,earrings,0.98 г,6990.0,0.0,,"Фианит (2 шт, 0.901 карат)",Красное золото 585 пробы,Французский,026946
11.06.2024,Sokolov,Подвеска из золота,pendants,0.42 г,3490.0,0.0,,Без вставок,Красное золото 585 пробы,,121498
