data,competitor,name,group,weight,price,price_old,discount,insert,metal,lock_type_or_weaving_type,article
25-06-2024,Sokolov,Серьги из белого золота с бриллиантами и танзанитами,earrings,2.18 г,98990,179990,Дополнительная скидка по акции «БРИЛЛИАНТОВЫЕ ДНИ» ЕЩЁ ДО –40%,"Бриллиант (природный) (36 шт, 0.134 карат) и еще 1",Белое золото 585 пробы,Пусет,6024434-3
25-06-2024,Sokolov,Подвеска из белого золота с бриллиантами и танзанитом,pendants,0.86 г,45640,82990,Дополнительная скидка по акции «БРИЛЛИАНТОВЫЕ ДНИ» ЕЩЁ ДО –40%,"Бриллиант (природный) (18 шт, 0.067 карат) и еще 1",Белое золото 585 пробы,,6034150-3
25-06-2024,Sokolov,Кольцо из белого золота с бриллиантами и танзанитом,rings,2.16 г,68740,124990,Дополнительная скидка по акции «БРИЛЛИАНТОВЫЕ ДНИ» ЕЩЁ ДО –40%,"Бриллиант (природный) (18 шт, 0.067 карат) и еще 1",Белое золото 585 пробы,,6014351-3
25-06-2024,Sokolov,Колье из белого золота с бриллиантами и танзанитом,necklaces,2.61 г,57740,104990,Дополнительная скидка по акции «БРИЛЛИАНТОВЫЕ ДНИ» ЕЩЁ ДО –40%,"Бриллиант (природный) (16 шт, 0.046 карат) и еще 1",Белое золото 585 пробы,,6074002
25-06-2024,Sokolov,Серьги из белого золота с бриллиантами,earrings,2.03 г,57740,104990,Дополнительная скидка по акции «БРИЛЛИАНТОВЫЕ ДНИ» ЕЩЁ ДО –40%,"Бриллиант (природный) (12 шт, 0.106 карат) и еще 1",Белое золото 585 пробы,Пусет,1021708
25-06-2024,Sokolov,Кольцо из белого золота с бриллиантами,rings,1.66 г,43990,79990,Дополнительная скидка по акции «БРИЛЛИАНТОВЫЕ ДНИ» ЕЩЁ ДО –40%,"Бриллиант (природный) (6 шт, 0.047 карат) и еще 1",Белое золото 585 пробы,,1012159-3
25-06-2024,Sokolov,Серьги из белого золота с бриллиантами,earrings,1.99 г,53890,97990,Дополнительная скидка по акции «БРИЛЛИАНТОВЫЕ ДНИ» ЕЩЁ ДО –40%,"Бриллиант (природный) (2 шт, 0.059 карат)",Белое золото 585 пробы,Английский,1021341
25-06-2024,Sokolov,Помолвочное кольцо из белого золота с бриллиантом,rings,1.35 г,34640,62990,Дополнительная скидка по акции «БРИЛЛИАНТОВЫЕ ДНИ» ЕЩЁ ДО –40%,"Бриллиант (природный) (1 шт, 0.03 карат)",Белое золото 585 пробы,,1011493
25-06-2024,Sokolov,Серьги из белого золота с бриллиантами,earrings,1.42 г,12990,0,,"Бриллиант (природный) (18 шт, 0.054 карат)",Белое золото 585 пробы,Английский,1022206-3
25-06-2024,Sokolov,Кольцо из белого золота с бриллиантами,rings,0.9 г,7990,0,,"Бриллиант (природный) (23 шт, 0.069 карат)",Белое золото 585 пробы,,1012584-3
25-06-2024,Sokolov,Серьги из белого золота с бриллиантами,earrings,2.7 г,89640,162990,Дополнительная скидка по акции «БРИЛЛИАНТОВЫЕ ДНИ» ЕЩЁ ДО –40%,"Бриллиант (природный) (12 шт, 0.127 карат) и еще 3",Белое золото 585 пробы,Английский,1020743
25-06-2024,Sokolov,Стильное кольцо из белого золота c бриллиантами,rings,2.28 г,98990,179990,Дополнительная скидка по акции «БРИЛЛИАНТОВЫЕ ДНИ» ЕЩЁ ДО –40%,"Бриллиант (природный) (1 шт, 0.111 карат) и еще 1",Белое золото 585 пробы,,1011116
25-06-2024,Sokolov,Кольцо из золота с фианитом,rings,0.99 г,6990,0,,"Фианит (1 шт, 0.846 карат)",Красное золото 585 пробы,,019243
25-06-2024,Sokolov,Подвеска из золота с фианитом,pendants,0.37 г,1990,0,,"Фианит (1 шт, 0.846 карат)",Красное золото 585 пробы,,036552
25-06-2024,Sokolov,Кольцо из золота с фианитами,rings,0.97 г,6490,0,,"Фианит (5 шт, 1.004 карат)",Красное золото 585 пробы,,019263
25-06-2024,Sokolov,Серьги из золота с фианитами,earrings,1.67 г,11490,0,,"Фианит (10 шт, 1.223 карат)",Красное золото 585 пробы,Английский,0200136
25-06-2024,Sokolov,Кольцо обручальное из белого золота,rings,1.6 г,12990,0,,Без вставок,Белое золото 585 пробы,1.6 г,110260-3
25-06-2024,Sokolov,Кольцо обручальное из золота,rings,1.61 г,12990,0,,Без вставок,Красное золото 585 пробы,1.61 г,110260
25-06-2024,Sokolov,Кольцо обручальное из золота,rings,1.63 г,12990,0,,Без вставок,Красное золото 585 пробы,1.63 г,110261
25-06-2024,Sokolov,Кольцо из белого золота,rings,1.61 г,12990,0,,Без вставок,Белое золото 585 пробы,1.61 г,110262-3
25-06-2024,Sokolov,Подвеска из золота с топазом и фианитом,pendants,1.08 г,5990,0,,"Топаз (1 шт, 2.109 карат) и еще 1",Красное золото 585 пробы,,732930
25-06-2024,Sokolov,Подвеска из золота с жемчугом,pendants,0.63 г,2490,0,,"Жемчуг натуральный (1 шт, 2.75 карат)",Красное золото 585 пробы,,793163
25-06-2024,Sokolov,Серьги из золота с жемчугом,earrings,2.31 г,10990,0,,"Жемчуг натуральный (2 шт, 6.45 карат)",Красное золото 585 пробы,Продёвка,792410
25-06-2024,Sokolov,Серьги из золота с жемчугом,earrings,1.52 г,6990,0,,"Жемчуг натуральный (2 шт, 3.95 карат)",Красное золото 585 пробы,Пусет,792416
25-06-2024,Sokolov,Серьги из белого золота с бриллиантами,earrings,5.99 г,170490,309990,Дополнительная скидка по акции «БРИЛЛИАНТОВЫЕ ДНИ» ЕЩЁ ДО –40%,"Бриллиант (природный) (124 шт, 0.476 карат)",Белое золото 585 пробы,5.99 г,1022183-3
25-06-2024,Sokolov,Кольцо из белого золота с бриллиантами,rings,3.31 г,137490,249990,Дополнительная скидка по акции «БРИЛЛИАНТОВЫЕ ДНИ» ЕЩЁ ДО –40%,"Бриллиант (природный) (116 шт, 0.64 карат)",Белое золото 585 пробы,3.31 г,1012568-3
25-06-2024,Sokolov,Колье из белого золота с бриллиантами,necklaces,27.04 г,585740,1064990,Дополнительная скидка по акции «БРИЛЛИАНТОВЫЕ ДНИ» ЕЩЁ ДО –40%,"Бриллиант (природный) (685 шт, 2.605 карат)",Белое золото 585 пробы,27.04 г,1070324-3
25-06-2024,Sokolov,Браслет из белого золота с бриллиантами,bracelets,12.27 г,294240,534990,Дополнительная скидка по акции «БРИЛЛИАНТОВЫЕ ДНИ» ЕЩЁ ДО –40%,"Бриллиант (природный) (277 шт, 1.033 карат)",Белое золото 585 пробы,12.27 г,1050271-3
25-06-2024,Sokolov,Серьги из белого золота с бриллиантами,earrings,2.79 г,44990,0,,"Бриллиант (природный) (42 шт, 0.157 карат)",Белое золото 585 пробы,Английский,1021969-3
25-06-2024,Sokolov,Кольцо из белого золота с бриллиантами,rings,1.66 г,24990,0,,"Бриллиант (природный) (27 шт, 0.078 карат)",Белое золото 585 пробы,,1012355-3
25-06-2024,Sokolov,Помолвочное кольцо из белого золота с бриллиантом,rings,1.64 г,125390,227990,Дополнительная скидка по акции «БРИЛЛИАНТОВЫЕ ДНИ» ЕЩЁ ДО –40%,"Бриллиант (природный) (1 шт, 0.285 карат)",Белое золото 585 пробы,,1010139
25-06-2024,Sokolov,Браслет из белого золота с бриллиантами,bracelets,5.4 г,189740,344990,Дополнительная скидка по акции «БРИЛЛИАНТОВЫЕ ДНИ» ЕЩЁ ДО –40%,"Бриллиант (природный) (31 шт, 0.415 карат) и еще 1",Белое золото 585 пробы,5.4 г,1050166-3
25-06-2024,Sokolov,Серьги из белого золота с бриллиантами,earrings,1.04 г,10990,0,,"Бриллиант (природный) (2 шт, 0.042 карат)",Белое золото 585 пробы,Пусет,1022152-3
25-06-2024,Sokolov,Кольцо из белого золота с бриллиантом,rings,0.78 г,8990,0,,"Бриллиант (природный) (1 шт, 0.027 карат)",Белое золото 585 пробы,,1012564-3
25-06-2024,Sokolov,Серьги из белого золота с бриллиантами,earrings,1.63 г,43990,79990,Дополнительная скидка по акции «БРИЛЛИАНТОВЫЕ ДНИ» ЕЩЁ ДО –40%,"Бриллиант (природный) (2 шт, 0.043 карат)",Белое золото 585 пробы,Пусет,1021119
25-06-2024,Sokolov,Кольцо из белого золота с бриллиантом,rings,1.5 г,65990,119990,Дополнительная скидка по акции «БРИЛЛИАНТОВЫЕ ДНИ» ЕЩЁ ДО –40%,"Бриллиант (природный) (1 шт, 0.1 карат)",Белое золото 585 пробы,,1011677
25-06-2024,Sokolov,Подвеска из белого золота с бриллиантами,pendants,0.71 г,65990,119990,Дополнительная скидка по акции «БРИЛЛИАНТОВЫЕ ДНИ» ЕЩЁ ДО –40%,"Бриллиант (природный) (11 шт, 0.236 карат)",Белое золото 585 пробы,0.71 г,1030840-3
25-06-2024,Sokolov,Колье из белого золота с бриллиантами,necklaces,2.35 г,145740,264990,Дополнительная скидка по акции «БРИЛЛИАНТОВЫЕ ДНИ» ЕЩЁ ДО –40%,"Бриллиант (природный) (12 шт, 0.437 карат)",Белое золото 585 пробы,2.35 г,1070173-3
