data,competitor,name,group,weight,price,price_old,discount,insert,metal,lock_type_or_weaving_type,article
18-06-2024,Sokolov,Кольцо из белого золота с бриллиантами и аквамарином,rings,3.91 г,193500,429990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Бриллиант (природный) (76 шт, 0.289 карат) и еще 2",Белое золото 585 пробы,3.91 г,6014369-3
18-06-2024,Sokolov,Кольцо из золота с бриллиантами и керамическими вставками,rings,0.89 г,35100,77990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Бриллиант (природный) (5 шт, 0.063 карат)",Красное золото 585 пробы,,6015122
18-06-2024,Sokolov,Серьги из золота с танзанитами,earrings,1.39 г,35100,77990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Танзанит (2 шт, 0.751 карат)",Красное золото 585 пробы,Пусет,6024265
18-06-2024,Sokolov,Серьги из золота с бриллиантами и чёрными керамическими вставками,earrings,3.61 г,60750,134990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Бриллиант (природный) (2 шт, 0.032 карат)",Красное золото 585 пробы,Английский,6025103
18-06-2024,Sokolov,Брошь из золота с бриллиантами и эмалью,brooches,13.98 г,299250,664990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Бриллиант (природный) (68 шт, 0.212 карат) и еще 4",Красное золото 585 пробы,13.98 г,6049030
18-06-2024,Sokolov,Серьга из золота с топазом,earrings,0.64 г,10350,22990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Топаз (1 шт, 0.175 карат)",Красное золото 585 пробы,,7-170002
18-06-2024,Sokolov,Кольцо из белого золота с бриллиантами,rings,2.67 г,85500,189990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Черный бриллиант (4 шт, 0.14 карат) и еще 3",Белое золото 585 пробы,,7010132-3
18-06-2024,Sokolov,Серьги из белого золота с бриллиантами,earrings,1.86 г,128250,284990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Черный бриллиант (2 шт, 0.837 карат)",Белое золото 585 пробы,Пусет,7020133-3
18-06-2024,Sokolov,Браслет из белого золота с бриллиантами,bracelets,3.79 г,81000,179990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Черный бриллиант (9 шт, 0.06 карат) и еще 1",Белое золото 585 пробы,,7050010-3
18-06-2024,Sokolov,Кольцо из золота с бриллиантами и гранатом,rings,2 г,31500,104990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Коньячный бриллиант (10 шт, 0.062 карат) и еще 2",Красное золото 585 пробы,,71-00291
