date,competitor,name,group,params,price,article,url
05.06.2024,Sunlight,"
    Золотая подвеска
  ",Подвески,"{'Модель': '300-1-2300*', 'Материал изделия': 'Розовое золото', 'Страна производства': 'Россия', 'Вес изделия': '1.02 г'}",9990,986598,https://sunlight.net/catalog/pendants_986598.html
05.06.2024,Sunlight,"
    Золотой пирсинг
  ",Пирсинг,"{'Модель': '14011006-20*', 'Материал изделия': 'Желтое золото', 'Страна производства': 'Россия', 'Вес изделия': '1.25 г'}",11990,341513,https://sunlight.net/catalog/piercing_341513.html
05.06.2024,Sunlight,"
    Золотое шейное украшение
  ",Шейное украшение,"{'Модель': '33-01-0000-69963*', 'Материал изделия': 'Розовое золото', 'Страна производства': 'Россия', 'Вес изделия': '5.17 г'}",47050,353982,https://sunlight.net/catalog/neck_decoration_353982.html
05.06.2024,Sunlight,"
    Золотое обручальное кольцо
  ",Кольца,"{'Модель': 'Т130613736*', 'Материал изделия': 'Белое золото, Розовое золото', 'Ширина кольца': '4,0 мм', 'Страна производства': 'Россия', 'Вес изделия': '1.87 г'}",21880,340249,https://sunlight.net/catalog/ring_340249.html
05.06.2024,Sunlight,"
    Золотые серьги
  ",Серьги,"{'Модель': '40249400*', 'Материал изделия': 'Розовое золото', 'Страна производства': 'Россия', 'Вес изделия': '2.45 г'}",29990,351285,https://sunlight.net/catalog/earring_351285.html
05.06.2024,Sunlight,"
    Золотое кольцо
  ",Кольца,"{'Модель': '1-4755-010*', 'Материал изделия': 'Розовое золото', 'Страна производства': 'Россия', 'Вес изделия': '1.21 г'}",13920,282924,https://sunlight.net/catalog/ring_282924.html
05.06.2024,Sunlight,"
    Золотые серьги
  ",Серьги,"{'Модель': '0102294*', 'Материал изделия': 'Желтое золото', 'Страна производства': 'Россия', 'Вес изделия': '4.15 г'}",47990,348531,https://sunlight.net/catalog/earring_348531.html
05.06.2024,Sunlight,"
    Золотая подвеска
  ",Подвески,"{'Модель': '41941*', 'Материал изделия': 'Розовое золото', 'Страна производства': 'Россия', 'Вес изделия': '1.79 г'}",22990,989023,https://sunlight.net/catalog/pendants_989023.html
05.06.2024,Sunlight,"
    Золотой крест-подвеска
  ",Крест-подвеска,"{'Модель': 'п1086-04*', 'Материал изделия': 'Белое золото, Розовое золото', 'Страна производства': 'Россия', 'Вес изделия': '4.11 г'}",39990,343554,https://sunlight.net/catalog/pendants_343554.html
05.06.2024,Sunlight,"
    Золотое кольцо
  ",Кольца,"{'Модель': 'К12010677*', 'Материал изделия': 'Розовое золото', 'Страна производства': 'Россия', 'Вес изделия': '1.83 г'}",16470,276968,https://sunlight.net/catalog/ring_276968.html
