date,competitor,name,group,params,price,article,url
19.06.2024,Sunlight,"
    Золотое кольцо
  ",Кольца,"{'Модель': '70268300*', 'Материал изделия': 'Розовое золото', 'Страна производства': 'Россия', 'Вес изделия': '1.79 г'}",16290,353860,https://sunlight.net/catalog/ring_353860.html
19.06.2024,Sunlight,"
    Золотая подвеска
  ",Подвески,"{'Модель': '50292*', 'Материал изделия': 'Розовое золото', 'Страна производства': 'Россия', 'Вес изделия': '1.05 г'}",9990,349887,https://sunlight.net/catalog/pendants_349887.html
19.06.2024,Sunlight,"
    Золотые серьги
  ",Серьги,"{'Модель': 'Т10062В486*', 'Материал изделия': 'Розовое золото', 'Страна производства': 'Россия', 'Вес изделия': '1.77 г'}",16990,353459,https://sunlight.net/catalog/earring_353459.html
19.06.2024,Sunlight,"
    Золотые серьги
  ",Серьги,"{'Модель': '02-4131-00-000-1110-48*', 'Материал изделия': 'Розовое золото', 'Страна производства': 'Россия', 'Вес изделия': '4.12 г'}",50990,346522,https://sunlight.net/catalog/earring_346522.html
19.06.2024,Sunlight,"
    Золотые серьги
  ",Серьги,"{'Модель': 'Т10062В076*', 'Материал изделия': 'Розовое золото', 'Страна производства': 'Россия', 'Вес изделия': '2.47 г'}",23990,330990,https://sunlight.net/catalog/earring_330990.html
19.06.2024,Sunlight,"
    Золотые серьги
  ",Серьги,"{'Модель': 'С12010680*', 'Материал изделия': 'Розовое золото', 'Страна производства': 'Россия', 'Вес изделия': '2.41 г'}",22990,291469,https://sunlight.net/catalog/earring_291469.html
19.06.2024,Sunlight,"
    Золотое кольцо
  ",Кольца,"{'Модель': 'кл3174-01*', 'Материал изделия': 'Розовое золото', 'Страна производства': 'Россия', 'Вес изделия': '4.21 г'}",40420,345571,https://sunlight.net/catalog/ring_345571.html
19.06.2024,Sunlight,"
    Золотые серьги
  ",Серьги,"{'Модель': '23-40-52*', 'Диаметр серег': '40 мм', 'Страна производства': 'Россия', 'Вес изделия': '3.24 г'}",31990,244076,https://sunlight.net/catalog/earring_244076.html
19.06.2024,Sunlight,"
    Золотой браслет
  ",Браслеты,"{'Модель': '30-58-0043-00*', 'Материал изделия': 'Желтое золото', 'Страна производства': 'Россия', 'Вес изделия': '2.04 г'}",22030,336270,https://sunlight.net/catalog/bracelets_336270.html
19.06.2024,Sunlight,"
    Золотой браслет
  ",Браслеты,"{'Модель': '11295-B5Y-01', 'Материал изделия': 'Желтое золото', 'Страна производства': 'Италия', 'Вес изделия': '8.62 г'}",100420,245180,https://sunlight.net/catalog/bracelets_245180.html
19.06.2024,Sunlight,"
    Золотое обручальное кольцо
  ",Кольца,"{'Модель': 'М-307Б*', 'Материал изделия': 'Белое золото', 'Покрытие': 'Родий', 'Ширина кольца': '4,0 мм', 'Страна производства': 'Россия', 'Вес изделия': '2.81 г'}",33440,332309,https://sunlight.net/catalog/ring_332309.html
19.06.2024,Sunlight,"
    Золотое обручальное кольцо 
  ",Кольца,"{'Модель': '10-111-000К*', 'Материал изделия': 'Розовое золото', 'Ширина кольца': '8,0 мм', 'Страна производства': 'Россия', 'Вес изделия': '6.69 г'}",39471,329772,https://sunlight.net/catalog/ring_329772.html
19.06.2024,Sunlight,"
    Золотое обручальное кольцо 
  ",Кольца,"{'Модель': '1-792-003К*', 'Материал изделия': 'Розовое золото', 'Покрытие': 'с элементами родия', 'Ширина кольца': '5,0 мм', 'Страна производства': 'Россия', 'Вес изделия': '1.7 г'}",17850,144960,https://sunlight.net/catalog/ring_133723.html
19.06.2024,Sunlight,"
    Золотая подвеска
  ",Подвески,"{'Модель': 'Т140635178*', 'Материал изделия': 'Розовое золото', 'Страна производства': 'Россия', 'Вес изделия': '0.6 г'}",7990,103704,https://sunlight.net/catalog/pendants_103704.html
19.06.2024,Sunlight,"
    Золотое кольцо
  ",Кольца,"{'Модель': '70229100-2*', 'Материал изделия': 'Желтое золото', 'Страна производства': 'Россия', 'Вес изделия': '1.7 г'}",15470,328006,https://sunlight.net/catalog/ring_328006.html
19.06.2024,Sunlight,"
    Золотая подвеска
  ",Подвески,"{'Модель': '38-63-0029-00*', 'Материал изделия': 'Желтое золото', 'Страна производства': 'Россия', 'Вес изделия': '1.18 г'}",13990,353008,https://sunlight.net/catalog/pendants_353008.html
19.06.2024,Sunlight,"
    Золотая подвеска
  ",Подвески,"{'Модель': '74069*', 'Материал изделия': 'Розовое золото', 'Страна производства': 'Россия', 'Вес изделия': '0.84 г'}",7990,278127,https://sunlight.net/catalog/pendants_278127.html
19.06.2024,Sunlight,"
    Золотое кольцо
  ",Кольца,"{'Модель': '70122*', 'Материал изделия': 'Розовое золото', 'Страна производства': 'Россия', 'Вес изделия': '1.45 г'}",12760,331912,https://sunlight.net/catalog/ring_331912.html
19.06.2024,Sunlight,"
    Золотое кольцо
  ",Кольца,"{'Модель': '001-0781-7100-011*', 'Материал изделия': 'Розовое золото', 'Страна производства': 'Россия', 'Вес изделия': '0.85 г'}",11730,992639,https://sunlight.net/catalog/ring_992639.html
19.06.2024,Sunlight,"
    Золотые серьги
  ",Серьги,"{'Модель': '8781К*', 'Материал изделия': 'Розовое золото', 'Страна производства': 'Россия', 'Вес изделия': '1.83 г'}",16990,285310,https://sunlight.net/catalog/earring_285310.html
19.06.2024,Sunlight,"
    Золотой крест-подвеска
  ",Крест-подвеска,"{'Модель': '300-1-733РЧ*', 'Материал изделия': 'Белое золото, Розовое золото', 'Страна производства': 'Россия', 'Вес изделия': '8.64 г'}",91990,988780,https://sunlight.net/catalog/pendants_988780.html
19.06.2024,Sunlight,"
    Золотые серьги
  ",Серьги,"{'Модель': '14-01-0000-11754*', 'Материал изделия': 'Розовое золото', 'Страна производства': 'Россия', 'Вес изделия': '4.22 г'}",39990,354002,https://sunlight.net/catalog/earring_354002.html
19.06.2024,Sunlight,"
    Золотые серьги
  ",Серьги,"{'Модель': '40015800*', 'Материал изделия': 'Розовое золото', 'Страна производства': 'Россия', 'Вес изделия': '1.27 г'}",11990,97875,https://sunlight.net/catalog/earring_97875.html
19.06.2024,Sunlight,"
    Золотые серьги
  ",Серьги,"{'Модель': 'С100-2076*', 'Материал изделия': 'Розовое золото', 'Страна производства': 'Россия', 'Вес изделия': '0.84 г'}",7990,267532,https://sunlight.net/catalog/earring_267532.html
19.06.2024,Sunlight,"
    Золотое кольцо
  ",Кольца,"{'Модель': '096835_01_01_000_0000*', 'Материал изделия': 'Розовое золото', 'Страна производства': 'Россия', 'Вес изделия': '1.37 г'}",13700,314494,https://sunlight.net/catalog/ring_314494.html
19.06.2024,Sunlight,"
    Золотая подвеска
  ",Подвески,"{'Модель': '14862.1*', 'Материал изделия': 'Розовое золото', 'Страна производства': 'Россия', 'Вес изделия': '2.69 г'}",25990,174322,https://sunlight.net/catalog/pendants_174322.html
19.06.2024,Sunlight,"
    Золотая подвеска
  ",Подвески,"{'Модель': '1400032424*', 'Материал изделия': 'Розовое золото', 'Страна производства': 'Россия', 'Вес изделия': '0.8 г'}",7990,984638,https://sunlight.net/catalog/pendants_984638.html
19.06.2024,Sunlight,"
    Золотая подвеска
  ",Подвески,"{'Модель': '10118500*', 'Материал изделия': 'Розовое золото', 'Страна производства': 'Россия', 'Вес изделия': '1.09 г'}",10490,351367,https://sunlight.net/catalog/pendants_351367.html
19.06.2024,Sunlight,"
    Золотое кольцо
  ",Кольца,"{'Модель': '00242-10-030001-00*', 'Материал изделия': 'Желтое золото', 'Страна производства': 'Россия', 'Вес изделия': '2.76 г'}",27600,990756,https://sunlight.net/catalog/ring_990756.html
19.06.2024,Sunlight,"
    Золотые серьги
  ",Серьги,"{'Модель': '2-3188-000*', 'Страна производства': 'Россия', 'Вес изделия': '2.69 г'}",26990,251112,https://sunlight.net/catalog/earring_251112.html
19.06.2024,Sunlight,"
    Золотые серьги
  ",Серьги,"{'Модель': '33182.1*', 'Материал изделия': 'Розовое золото', 'Страна производства': 'Россия', 'Вес изделия': '1.25 г'}",13990,98226,https://sunlight.net/catalog/earring_98226.html
19.06.2024,Sunlight,"
    Золотые серьги
  ",Серьги,"{'Модель': '223253*', 'Материал изделия': 'Розовое золото', 'Страна производства': 'Россия', 'Вес изделия': '6.69 г'}",61990,345706,https://sunlight.net/catalog/earring_345706.html
19.06.2024,Sunlight,"
    Золотая подвеска
  ",Подвески,"{'Модель': 'С300-1-1058Р*', 'Материал изделия': 'Розовое золото', 'Страна производства': 'Россия', 'Вес изделия': '0.95 г'}",9490,996984,https://sunlight.net/catalog/pendants_996984.html
19.06.2024,Sunlight,"
    Золотые серьги
  ",Серьги,"{'Модель': '2-3132-010*', 'Материал изделия': 'Розовое золото', 'Страна производства': 'Россия', 'Вес изделия': '2.09 г'}",26990,251044,https://sunlight.net/catalog/earring_251044.html
19.06.2024,Sunlight,"
    Золотая подвеска ""Казанская Божия Матерь""
  ",Подвески,"{'Модель': '35-0631л-11-61*', 'Материал изделия': 'Розовое золото', 'Страна производства': 'Россия', 'Вес изделия': '0.69 г'}",6990,352095,https://sunlight.net/catalog/pendants_352095.html
19.06.2024,Sunlight,"
    Золотые серьги
  ",Серьги,"{'Модель': '12-01-0000-11245*', 'Материал изделия': 'Розовое золото', 'Страна производства': 'Россия', 'Вес изделия': '0.81 г'}",7990,344001,https://sunlight.net/catalog/earring_344001.html
19.06.2024,Sunlight,"
    Золотое кольцо
  ",Кольца,"{'Модель': 'Т14061Б574*', 'Материал изделия': 'Розовое золото', 'Страна производства': 'Россия', 'Вес изделия': '2.45 г'}",22780,353502,https://sunlight.net/catalog/ring_353502.html
19.06.2024,Sunlight,"
    Золотые серьги
  ",Серьги,"{'Модель': '40220100*', 'Материал изделия': 'Розовое золото', 'Страна производства': 'Россия', 'Вес изделия': '2.61 г'}",25990,328003,https://sunlight.net/catalog/earring_328003.html
19.06.2024,Sunlight,"
    Золотая цепь
  ",Цепи,"{'Модель': '8080154Р-50*', 'Материал изделия': 'Белое золото', 'Покрытие': 'Родий', 'Ширина цепи': '4,6 мм', 'Плетение': 'Ромб двойной', 'Страна производства': 'Россия', 'Вес изделия': '16.23 г'}",97218,988370,https://sunlight.net/catalog/chains_988370.html
19.06.2024,Sunlight,"
    Золотой браслет
  ",Браслеты,"{'Модель': '10337-B5Y-01', 'Материал изделия': 'Желтое золото', 'Страна производства': 'Италия', 'Вес изделия': '15.22 г'}",139990,91787,https://sunlight.net/catalog/bracelets_91787.html
19.06.2024,Sunlight,"
    Золотое обручальное кольцо 
  ",Кольца,"{'Модель': '10-138-000Ж*', 'Материал изделия': 'Желтое золото', 'Ширина кольца': '4,0 мм', 'Страна производства': 'Россия', 'Вес изделия': '2.39 г'}",27720,984571,https://sunlight.net/catalog/ring_984571.html
19.06.2024,Sunlight,"
    Золотая подвеска
  ",Подвески,"{'Модель': '01П0114028*', 'Материал изделия': 'Розовое золото', 'Страна производства': 'Россия', 'Вес изделия': '0.96 г'}",14490,351804,https://sunlight.net/catalog/pendants_351804.html
19.06.2024,Sunlight,"
    Золотая подвеска
  ",Подвески,"{'Модель': '10087200*', 'Материал изделия': 'Розовое золото', 'Страна производства': 'Россия', 'Вес изделия': '0.63 г'}",6990,90585,https://sunlight.net/catalog/pendants_90585.html
19.06.2024,Sunlight,"
    Золотое кольцо
  ",Кольца,"{'Модель': 'К12010327*', 'Материал изделия': 'Розовое золото', 'Страна производства': 'Россия', 'Вес изделия': '1.2 г'}",13200,291452,https://sunlight.net/catalog/ring_291452.html
19.06.2024,Sunlight,"
    Золотой крест-подвеска
  ",Крест-подвеска,"{'Модель': '300-1-135Р*', 'Материал изделия': 'Белое золото, Розовое золото', 'Страна производства': 'Россия', 'Вес изделия': '1.55 г'}",15990,986605,https://sunlight.net/catalog/pendants_986605.html
19.06.2024,Sunlight,"
    Золотые серьги
  ",Серьги,"{'Модель': '43408*', 'Материал изделия': 'Розовое золото', 'Страна производства': 'Россия', 'Вес изделия': '4.29 г'}",51990,989029,https://sunlight.net/catalog/earring_989029.html
19.06.2024,Sunlight,"
    Золотой крест-подвеска
  ",Крест-подвеска,"{'Модель': 'Т14006820*', 'Материал изделия': 'Розовое золото', 'Страна производства': 'Россия', 'Вес изделия': '1.68 г'}",16990,354313,https://sunlight.net/catalog/pendants_354313.html
