date,competitor,name,group,params,price,article
18.06.2024,Sunlight,"
    Золотое кольцо с гранатом и бриллиантами
  ",Кольца,"{'Модель': '70536-K5R-01', 'Материал изделия': 'Розовое золото', 'Покрытие': 'с элементами родия', 'Вставка': 'Гранат, Бриллиант', 'Страна производства': 'Россия', 'Вес изделия': '1.09 г'}",8990,108796
18.06.2024,Sunlight,"
    Золотое кольцо c бриллиантом
  ",Кольца,"{'Модель': '0496-K5R-01', 'Материал изделия': 'Розовое золото', 'Покрытие': 'с элементами родия', 'Вставка': 'Бриллиант', 'Ширина кольца': '1,2 мм', 'Страна производства': 'Россия', 'Вес изделия': '1.04 г'}",12990,47720
18.06.2024,Sunlight,"
    Золотое кольцо с бриллиантом
  ",Кольца,"{'Модель': '70669-K5R-01', 'Материал изделия': 'Розовое золото', 'Покрытие': 'с элементами родия', 'Вставка': 'Бриллиант', 'Страна производства': 'Россия', 'Вес изделия': '1.15 г'}",16990,146537
18.06.2024,Sunlight,"
    Золотое кольцо с фианитами
  ",Кольца,"{'Модель': '04-51-0811-00К*', 'Материал изделия': 'Розовое золото', 'Вставка': 'Фианит', 'Страна производства': 'Россия', 'Вес изделия': '0.81 г'}",7490,351238
18.06.2024,Sunlight,"
    Золотые серьги с гранатом и бриллиантами
  ",Серьги,"{'Модель': '70536-C5R-01', 'Материал изделия': 'Розовое золото', 'Покрытие': 'с элементами родия', 'Вставка': 'Бриллиант, Гранат', 'Страна производства': 'Россия', 'Вес изделия': '2.24 г'}",16990,108798
18.06.2024,Sunlight,"
    Золотое кольцо с фианитами
  ",Кольца,"{'Модель': '70184500*', 'Материал изделия': 'Розовое золото', 'Покрытие': 'с элементами родия', 'Вставка': 'Фианит', 'Ширина кольца': '3,0 мм', 'Страна производства': 'Россия', 'Вес изделия': '2.04 г'}",14990,100464
18.06.2024,Sunlight,"
    Серебряное кольцо с фианитами
  ",Кольца,"{'Модель': 'S1041-K9W-01', 'Материал изделия': 'Серебро', 'Покрытие': 'Родий', 'Вставка': 'Фианит', 'Вес изделия': '1.82 г'}",1490,21522
18.06.2024,Sunlight,"
    Серебряное кольцо с фианитами
  ",Кольца,"{'Модель': '01-0746/00КЦ-00', 'Материал изделия': 'Серебро', 'Покрытие': 'Родий', 'Вставка': 'Фианит', 'Ширина кольца': '2,6 мм', 'Страна производства': 'Россия', 'Вес изделия': '2.98 г'}",2490,76137
18.06.2024,Sunlight,"
    Золотое кольцо c бриллиантом
  ",Кольца,"{'Модель': '0496-K5W-01', 'Материал изделия': 'Белое золото', 'Покрытие': 'Родий', 'Вставка': 'Бриллиант', 'Страна производства': 'Россия', 'Вес изделия': '1.07 г'}",12990,48271
18.06.2024,Sunlight,"
    Серебряное кольцо с фианитами
  ",Кольца,"{'Модель': 'К-2736-Р', 'Материал изделия': 'Серебро', 'Покрытие': 'Родий', 'Вставка': 'Фианит', 'Страна производства': 'Россия', 'Вес изделия': '1.43 г'}",1790,49414
