date,competitor,name,group,params,price,article,url
18-06-2024,Sunlight,"
    Золотые серьги с фианитами
  ",Серьги,"{'Модель': '0602623*', 'Материал изделия': 'Белое золото', 'Вставка': 'Фианит', 'Страна производства': 'Россия', 'Вес изделия': '3.29 г'}",31990,353390,https://sunlight.net/catalog/earring_353390.html
18-06-2024,Sunlight,"
    Золотое кольцо
  ",Кольца,"{'Модель': '098030_01_01_000_0000*', 'Материал изделия': 'Розовое золото', 'Страна производства': 'Россия', 'Вес изделия': '2.72 г'}",24750,335734,https://sunlight.net/catalog/ring_335734.html
18-06-2024,Sunlight,"
    Золотое кольцо с бриллиантами
  ",Кольца,"{'Модель': '73442-K5R-01', 'Материал изделия': 'Розовое золото', 'Покрытие': 'с элементами родия', 'Вставка': 'Бриллиант', 'Страна производства': 'Россия', 'Вес изделия': '0.98 г'}",34990,987689,https://sunlight.net/catalog/ring_987689.html
18-06-2024,Sunlight,"
    Золотые серьги
  ",Серьги,"{'Модель': 'Т94062В672*', 'Материал изделия': 'Желтое золото', 'Страна производства': 'Россия', 'Вес изделия': '1.26 г'}",12490,353710,https://sunlight.net/catalog/earring_353710.html
18-06-2024,Sunlight,"
    Золотое кольцо с фианитами
  ",Кольца,"{'Модель': 'кл2999-01*', 'Материал изделия': 'Розовое золото', 'Покрытие': 'с элементами родия', 'Вставка': 'Фианит', 'Страна производства': 'Россия', 'Вес изделия': '2.13 г'}",24070,346119,https://sunlight.net/catalog/ring_346119.html
18-06-2024,Sunlight,"
    Золотое кольцо с фианитами
  ",Кольца,"{'Модель': '1081503*', 'Материал изделия': 'Розовое золото', 'Вставка': 'Фианит', 'Страна производства': 'Россия', 'Вес изделия': '1.46 г'}",13870,353625,https://sunlight.net/catalog/ring_353625.html
18-06-2024,Sunlight,"
    Золотые серьги с фианитами
  ",Серьги,"{'Модель': '002-0478-0001-011*', 'Материал изделия': 'Розовое золото', 'Вставка': 'Фианит', 'Страна производства': 'Россия', 'Вес изделия': '3.15 г'}",30990,983979,https://sunlight.net/catalog/earring_983979.html
18-06-2024,Sunlight,"
    Золотые серьги
  ",Серьги,"{'Модель': '23-23-19л*', 'Диаметр серег': '23 мм', 'Страна производства': 'Россия', 'Вес изделия': '1.78 г'}",16990,244092,https://sunlight.net/catalog/earring_244092.html
18-06-2024,Sunlight,"
    Золотые серьги
  ",Серьги,"{'Модель': '19-01-0000-11248*', 'Материал изделия': 'Розовое золото', 'Страна производства': 'Россия', 'Вес изделия': '0.69 г'}",6990,343678,https://sunlight.net/catalog/earring_343678.html
18-06-2024,Sunlight,"
    Золотые серьги с фианитами
  ",Серьги,"{'Модель': '40242300*', 'Материал изделия': 'Розовое золото', 'Вставка': 'Фианит', 'Страна производства': 'Россия', 'Вес изделия': '2.85 г'}",28990,354073,https://sunlight.net/catalog/earring_354073.html
18-06-2024,Sunlight,"
    Золотое кольцо
  ",Кольца,"{'Модель': '001-0305-0000-010*', 'Материал изделия': 'Розовое золото', 'Страна производства': 'Россия', 'Вес изделия': '1.38 г'}",13110,983980,https://sunlight.net/catalog/ring_983980.html
18-06-2024,Sunlight,"
    Золотое кольцо с фианитами и аметистом
  ",Кольца,"{'Модель': 'кл2832-3-01*', 'Материал изделия': 'Розовое золото', 'Покрытие': 'с элементами родия', 'Вставка': 'Аметист, Фианит', 'Страна производства': 'Россия', 'Вес изделия': '2.26 г'}",28990,984588,https://sunlight.net/catalog/ring_984588.html
18-06-2024,Sunlight,"
    Золотые серьги с фианитами
  ",Серьги,"{'Модель': '07018-20-010006-00*', 'Материал изделия': 'Розовое золото', 'Вставка': 'Фианит', 'Страна производства': 'Россия', 'Вес изделия': '4.82 г'}",47990,353410,https://sunlight.net/catalog/earring_353410.html
18-06-2024,Sunlight,"
    Золотые серьги с бриллиантами
  ",Серьги,"{'Модель': '73444-C5M-01', 'Материал изделия': 'Белое золото, Розовое золото', 'Покрытие': 'с элементами родия', 'Вставка': 'Бриллиант', 'Страна производства': 'Россия', 'Вес изделия': '2.08 г'}",59990,987712,https://sunlight.net/catalog/earring_987712.html
18-06-2024,Sunlight,"
    Золотое кольцо с фианитами
  ",Кольца,"{'Модель': '1365801*', 'Материал изделия': 'Розовое золото', 'Вставка': 'Фианит', 'Страна производства': 'Россия', 'Вес изделия': '1.34 г'}",12600,336432,https://sunlight.net/catalog/ring_336432.html
18-06-2024,Sunlight,"
    Золотое кольцо с бриллиантами
  ",Кольца,"{'Модель': '72769-K5R-01', 'Материал изделия': 'Розовое золото', 'Покрытие': 'с элементами родия', 'Вставка': 'Бриллиант', 'Страна производства': 'Россия', 'Вес изделия': '2.46 г'}",44990,340533,https://sunlight.net/catalog/ring_340533.html
18-06-2024,Sunlight,"
    Золотая цепь
  ",Цепи,"{'Модель': 'НЦ 12-089 1,20*', 'Материал изделия': 'Розовое золото', 'Ширина цепи': '1,2 мм', 'Плетение': 'Перлина', 'Страна производства': 'Россия', 'Вес изделия': '2.59 г'}",19399,326066,https://sunlight.net/catalog/chains_326066.html
18-06-2024,Sunlight,"
    Золотой браслет
  ",Браслеты,"{'Модель': '0106096*', 'Материал изделия': 'Желтое золото', 'Страна производства': 'Россия', 'Вес изделия': '15.46 г'}",106674,349029,https://sunlight.net/catalog/bracelets_349029.html
18-06-2024,Sunlight,"
    Золотое шейное украшение
  ",Шейное украшение,"{'Модель': '6150608-00*', 'Материал изделия': 'Розовое золото', 'Страна производства': 'Россия', 'Вес изделия': '14.81 г'}",115520,330249,https://sunlight.net/catalog/necklace_53104.html
